"filename", "language", "Python", "pip requirements", "JSON", "JavaScript", "CSS", "HTML", "XML", "Markdown", "comment", "blank", "total"
"/Users/mcc_311/Desktop/work/FireControlv2/FireControlv2/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mcc_311/Desktop/work/FireControlv2/FireControlv2/asgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"/Users/mcc_311/Desktop/work/FireControlv2/FireControlv2/settings.py", "Python", 77, 0, 0, 0, 0, 0, 0, 0, 27, 32, 136
"/Users/mcc_311/Desktop/work/FireControlv2/FireControlv2/urls.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 16, 4, 37
"/Users/mcc_311/Desktop/work/FireControlv2/FireControlv2/wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/build/asset-manifest.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 17
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/build/index.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/build/manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/build/static/css/main.22cc73ae.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/build/static/js/415.94f10d8a.chunk.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 3
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/build/static/js/787.68bbb5b0.chunk.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/build/static/js/main.86539c77.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 3
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/source/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 38, 0, 33, 71
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/source/package-lock.json", "JSON", 0, 0, 29579, 0, 0, 0, 0, 0, 0, 1, 29580
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/source/package.json", "JSON", 0, 0, 42, 0, 0, 0, 0, 0, 0, 1, 43
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/source/public/index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 23, 1, 44
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/source/public/manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/source/src/Album.js", "JavaScript", 0, 0, 0, 137, 0, 0, 0, 0, 3, 7, 147
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/source/src/App.css", "CSS", 0, 0, 0, 0, 33, 0, 0, 0, 0, 6, 39
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/source/src/App.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/source/src/App.test.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/source/src/ProTip.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/source/src/index.css", "CSS", 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/source/src/index.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 3, 3, 18
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/source/src/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/source/src/reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/source/src/setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/source/src/theme.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 1, 3, 20
"/Users/mcc_311/Desktop/work/FireControlv2/frontend/urls.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/mcc_311/Desktop/work/FireControlv2/manage.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 3, 5, 23
